,timestamp,hour,day_of_week,day,month,year,is_weekend
86,2024-01-04 14:00:00+00:00,14,3,4,1,2024,False
87,2024-01-04 15:00:00+00:00,15,3,4,1,2024,False
88,2024-01-04 16:00:00+00:00,16,3,4,1,2024,False
89,2024-01-04 17:00:00+00:00,17,3,4,1,2024,False
90,2024-01-04 18:00:00+00:00,18,3,4,1,2024,False
91,2024-01-04 19:00:00+00:00,19,3,4,1,2024,False
92,2024-01-04 20:00:00+00:00,20,3,4,1,2024,False
93,2024-01-04 21:00:00+00:00,21,3,4,1,2024,False
94,2024-01-04 22:00:00+00:00,22,3,4,1,2024,False
95,2024-01-04 23:00:00+00:00,23,3,4,1,2024,False
96,2024-01-05 00:00:00+00:00,0,4,5,1,2024,False
97,2024-01-05 01:00:00+00:00,1,4,5,1,2024,False
98,2024-01-05 02:00:00+00:00,2,4,5,1,2024,False
99,2024-01-05 03:00:00+00:00,3,4,5,1,2024,False
100,2024-01-05 04:00:00+00:00,4,4,5,1,2024,False
101,2024-01-05 05:00:00+00:00,5,4,5,1,2024,False
102,2024-01-05 06:00:00+00:00,6,4,5,1,2024,False
103,2024-01-05 07:00:00+00:00,7,4,5,1,2024,False
104,2024-01-05 08:00:00+00:00,8,4,5,1,2024,False
105,2024-01-05 09:00:00+00:00,9,4,5,1,2024,False
106,2024-01-05 10:00:00+00:00,10,4,5,1,2024,False
107,2024-01-05 11:00:00+00:00,11,4,5,1,2024,False
108,2024-01-05 12:00:00+00:00,12,4,5,1,2024,False
109,2024-01-05 13:00:00+00:00,13,4,5,1,2024,False
110,2024-01-05 14:00:00+00:00,14,4,5,1,2024,False
111,2024-01-05 15:00:00+00:00,15,4,5,1,2024,False
112,2024-01-05 16:00:00+00:00,16,4,5,1,2024,False
113,2024-01-05 17:00:00+00:00,17,4,5,1,2024,False
114,2024-01-05 18:00:00+00:00,18,4,5,1,2024,False
115,2024-01-05 19:00:00+00:00,19,4,5,1,2024,False
116,2024-01-05 20:00:00+00:00,20,4,5,1,2024,False
117,2024-01-05 21:00:00+00:00,21,4,5,1,2024,False
118,2024-01-05 22:00:00+00:00,22,4,5,1,2024,False
119,2024-01-05 23:00:00+00:00,23,4,5,1,2024,False
120,2024-01-06 00:00:00+00:00,0,5,6,1,2024,True
121,2024-01-06 01:00:00+00:00,1,5,6,1,2024,True
122,2024-01-06 02:00:00+00:00,2,5,6,1,2024,True
123,2024-01-06 03:00:00+00:00,3,5,6,1,2024,True
124,2024-01-06 04:00:00+00:00,4,5,6,1,2024,True
125,2024-01-06 05:00:00+00:00,5,5,6,1,2024,True
126,2024-01-06 06:00:00+00:00,6,5,6,1,2024,True
127,2024-01-06 07:00:00+00:00,7,5,6,1,2024,True
128,2024-01-06 08:00:00+00:00,8,5,6,1,2024,True
129,2024-01-06 09:00:00+00:00,9,5,6,1,2024,True
130,2024-01-06 10:00:00+00:00,10,5,6,1,2024,True
131,2024-01-06 11:00:00+00:00,11,5,6,1,2024,True
132,2024-01-06 12:00:00+00:00,12,5,6,1,2024,True
133,2024-01-06 13:00:00+00:00,13,5,6,1,2024,True
134,2024-01-06 14:00:00+00:00,14,5,6,1,2024,True
135,2024-01-06 15:00:00+00:00,15,5,6,1,2024,True
136,2024-01-06 16:00:00+00:00,16,5,6,1,2024,True
137,2024-01-06 17:00:00+00:00,17,5,6,1,2024,True
138,2024-01-06 18:00:00+00:00,18,5,6,1,2024,True
139,2024-01-06 19:00:00+00:00,19,5,6,1,2024,True
140,2024-01-06 20:00:00+00:00,20,5,6,1,2024,True
141,2024-01-06 21:00:00+00:00,21,5,6,1,2024,True
142,2024-01-06 22:00:00+00:00,22,5,6,1,2024,True
143,2024-01-06 23:00:00+00:00,23,5,6,1,2024,True
144,2024-01-07 00:00:00+00:00,0,6,7,1,2024,True
145,2024-01-07 01:00:00+00:00,1,6,7,1,2024,True
146,2024-01-07 02:00:00+00:00,2,6,7,1,2024,True
147,2024-01-07 03:00:00+00:00,3,6,7,1,2024,True
148,2024-01-07 04:00:00+00:00,4,6,7,1,2024,True
