,Wind Onshore,Wind Onshore
,Actual Aggregated,Actual Consumption
timestamp,,
2024-01-02 03:30:00+01:00,21367.58,0.0
2024-01-02 03:45:00+01:00,21575.72,0.0
2024-01-02 04:00:00+01:00,22076.16,0.0
2024-01-02 04:15:00+01:00,22674.58,0.0
2024-01-02 04:30:00+01:00,23132.11,0.0
2024-01-02 04:45:00+01:00,23553.84,0.0
2024-01-02 05:00:00+01:00,24274.6,0.0
2024-01-02 05:15:00+01:00,24999.1,0.0
2024-01-02 05:30:00+01:00,25817.39,0.0
2024-01-02 05:45:00+01:00,26360.83,0.0
2024-01-02 06:00:00+01:00,27605.25,0.0
2024-01-02 06:15:00+01:00,28100.55,0.0
2024-01-02 06:30:00+01:00,28605.21,0.0
2024-01-02 06:45:00+01:00,29072.81,0.0
2024-01-02 07:00:00+01:00,29493.56,0.0
2024-01-02 07:15:00+01:00,29866.35,0.0
2024-01-02 07:30:00+01:00,30274.15,0.0
2024-01-02 07:45:00+01:00,30538.58,0.0
2024-01-02 08:00:00+01:00,30830.63,0.0
2024-01-02 08:15:00+01:00,31009.4,0.0
2024-01-02 08:30:00+01:00,31221.5,0.0
2024-01-02 08:45:00+01:00,31160.25,0.0
2024-01-02 09:00:00+01:00,30883.21,0.0
2024-01-02 09:15:00+01:00,30752.09,0.0
2024-01-02 09:30:00+01:00,30739.67,0.0
2024-01-02 09:45:00+01:00,30945.35,0.0
2024-01-02 10:00:00+01:00,31035.53,0.0
2024-01-02 10:15:00+01:00,30838.62,0.0
2024-01-02 10:30:00+01:00,30573.89,0.0
2024-01-02 10:45:00+01:00,30199.75,0.0
2024-01-02 11:00:00+01:00,29807.32,0.0
2024-01-02 11:15:00+01:00,29383.07,0.0
2024-01-02 11:30:00+01:00,28971.36,0.0
2024-01-02 11:45:00+01:00,28579.09,0.0
2024-01-02 12:00:00+01:00,28204.14,0.0
2024-01-02 12:15:00+01:00,28124.51,0.0
2024-01-02 12:30:00+01:00,28127.46,0.0
2024-01-02 12:45:00+01:00,27942.83,0.0
2024-01-02 13:00:00+01:00,27723.76,0.0
2024-01-02 13:15:00+01:00,27685.98,0.0
2024-01-02 13:30:00+01:00,27575.98,0.0
2024-01-02 13:45:00+01:00,27510.33,0.0
2024-01-02 14:00:00+01:00,27343.15,0.0
2024-01-02 14:15:00+01:00,27096.1,0.0
2024-01-02 14:30:00+01:00,26938.82,0.0
2024-01-02 14:45:00+01:00,26982.0,0.0
2024-01-02 15:00:00+01:00,27069.65,0.0
2024-01-02 15:15:00+01:00,27093.31,0.0
2024-01-02 15:30:00+01:00,27407.55,0.0
2024-01-02 15:45:00+01:00,27846.64,0.0
2024-01-02 16:00:00+01:00,28252.85,0.0
2024-01-02 16:15:00+01:00,28661.05,0.0
2024-01-02 16:30:00+01:00,29161.94,0.0
2024-01-02 16:45:00+01:00,29656.3,0.0
2024-01-02 17:00:00+01:00,30202.29,0.0
2024-01-02 17:15:00+01:00,30640.78,0.0
2024-01-02 17:30:00+01:00,31151.18,0.0
2024-01-02 17:45:00+01:00,31580.32,0.0
2024-01-02 18:00:00+01:00,31972.01,0.0
2024-01-02 18:15:00+01:00,32343.34,0.0
2024-01-02 18:30:00+01:00,32880.98,0.0
2024-01-02 18:45:00+01:00,33586.08,0.0
2024-01-02 19:00:00+01:00,34217.94,0.0
2024-01-02 19:15:00+01:00,34671.68,0.0
2024-01-02 19:30:00+01:00,35045.22,0.0
2024-01-02 19:45:00+01:00,35328.4,0.0
2024-01-02 20:00:00+01:00,35665.2,0.0
2024-01-02 20:15:00+01:00,36161.14,0.0
2024-01-02 20:30:00+01:00,36379.97,0.0
2024-01-02 20:45:00+01:00,36700.71,0.0
2024-01-02 21:00:00+01:00,37100.62,0.0
2024-01-02 21:15:00+01:00,37410.62,0.0
2024-01-02 21:30:00+01:00,37529.85,0.0
2024-01-02 21:45:00+01:00,37654.6,0.0
2024-01-02 22:00:00+01:00,36904.25,0.0
2024-01-02 22:15:00+01:00,37192.83,0.0
2024-01-02 22:30:00+01:00,37610.79,0.0
2024-01-02 22:45:00+01:00,37717.16,0.0
2024-01-02 23:00:00+01:00,37762.38,0.0
2024-01-02 23:15:00+01:00,37924.32,0.0
2024-01-02 23:30:00+01:00,38006.89,0.0
2024-01-02 23:45:00+01:00,37701.85,0.0
2024-01-03 00:00:00+01:00,36788.67,0.0
2024-01-03 00:15:00+01:00,36716.18,0.0
2024-01-03 00:30:00+01:00,36908.82,0.0
2024-01-03 00:45:00+01:00,37010.22,0.0
2024-01-03 01:00:00+01:00,37171.46,0.0
2024-01-03 01:15:00+01:00,37243.21,0.0
2024-01-03 01:30:00+01:00,37049.08,0.0
2024-01-03 01:45:00+01:00,36741.54,0.0
2024-01-03 02:00:00+01:00,37004.24,0.0
2024-01-03 02:15:00+01:00,37367.84,0.0
2024-01-03 02:30:00+01:00,37673.92,0.0
2024-01-03 02:45:00+01:00,37892.33,0.0
2024-01-03 03:00:00+01:00,37629.31,0.0
2024-01-03 03:15:00+01:00,37427.87,0.0
2024-01-03 03:30:00+01:00,37711.84,0.0
2024-01-03 03:45:00+01:00,37670.7,0.0
2024-01-03 04:00:00+01:00,37873.91,0.0
2024-01-03 04:15:00+01:00,38099.89,0.0
2024-01-03 04:30:00+01:00,38687.28,0.0
2024-01-03 04:45:00+01:00,39125.02,0.0
2024-01-03 05:00:00+01:00,38260.36,0.0
2024-01-03 05:15:00+01:00,38374.95,0.0
2024-01-03 05:30:00+01:00,39143.51,0.0
2024-01-03 05:45:00+01:00,39326.51,0.0
2024-01-03 06:00:00+01:00,41269.89,0.0
2024-01-03 06:15:00+01:00,41908.04,0.0
2024-01-03 06:30:00+01:00,42324.49,0.0
2024-01-03 06:45:00+01:00,42629.17,0.0
2024-01-03 07:00:00+01:00,42947.91,0.0
2024-01-03 07:15:00+01:00,43103.24,0.0
2024-01-03 07:30:00+01:00,43353.4,0.0
2024-01-03 07:45:00+01:00,43281.64,0.0
2024-01-03 08:00:00+01:00,42972.49,0.0
2024-01-03 08:15:00+01:00,42728.99,0.0
2024-01-03 08:30:00+01:00,42461.85,0.0
2024-01-03 08:45:00+01:00,42040.72,0.0
2024-01-03 09:00:00+01:00,41817.66,0.0
2024-01-03 09:15:00+01:00,41740.35,0.0
2024-01-03 09:30:00+01:00,41538.95,0.0
2024-01-03 09:45:00+01:00,41673.07,0.0
2024-01-03 10:00:00+01:00,41896.33,0.0
2024-01-03 10:15:00+01:00,42023.26,0.0
2024-01-03 10:30:00+01:00,41839.63,0.0
2024-01-03 10:45:00+01:00,41820.78,0.0
2024-01-03 11:00:00+01:00,42044.13,0.0
2024-01-03 11:15:00+01:00,42583.71,0.0
2024-01-03 11:30:00+01:00,42752.01,0.0
2024-01-03 11:45:00+01:00,42463.84,0.0
2024-01-03 12:00:00+01:00,42250.73,0.0
2024-01-03 12:15:00+01:00,42255.23,0.0
2024-01-03 12:30:00+01:00,42127.45,0.0
2024-01-03 12:45:00+01:00,41981.07,0.0
2024-01-03 13:00:00+01:00,41756.44,0.0
2024-01-03 13:15:00+01:00,41497.81,0.0
2024-01-03 13:30:00+01:00,41358.3,0.0
2024-01-03 13:45:00+01:00,41215.85,0.0
2024-01-03 14:00:00+01:00,40941.97,0.0
2024-01-03 14:15:00+01:00,40807.72,0.0
2024-01-03 14:30:00+01:00,40461.25,0.0
2024-01-03 14:45:00+01:00,39960.37,0.0
2024-01-03 15:00:00+01:00,39618.41,0.0
2024-01-03 15:15:00+01:00,39175.4,0.0
2024-01-03 15:30:00+01:00,38883.25,0.0
2024-01-03 15:45:00+01:00,38694.32,0.0
2024-01-03 16:00:00+01:00,38343.19,0.0
2024-01-03 16:15:00+01:00,37786.6,0.0
2024-01-03 16:30:00+01:00,36996.87,0.0
2024-01-03 16:45:00+01:00,36351.71,0.0
2024-01-03 17:00:00+01:00,35747.57,0.0
2024-01-03 17:15:00+01:00,35483.07,0.0
2024-01-03 17:30:00+01:00,34997.89,0.0
2024-01-03 17:45:00+01:00,34751.34,0.0
2024-01-03 18:00:00+01:00,34388.32,0.0
2024-01-03 18:15:00+01:00,34204.83,0.0
2024-01-03 18:30:00+01:00,33942.07,0.0
2024-01-03 18:45:00+01:00,33782.1,0.0
2024-01-03 19:00:00+01:00,33368.81,0.0
2024-01-03 19:15:00+01:00,33057.22,0.0
2024-01-03 19:30:00+01:00,32712.88,0.0
2024-01-03 19:45:00+01:00,32337.79,0.0
2024-01-03 20:00:00+01:00,32041.67,0.0
2024-01-03 20:15:00+01:00,31934.35,0.0
2024-01-03 20:30:00+01:00,32033.2,0.0
2024-01-03 20:45:00+01:00,31956.3,0.0
2024-01-03 21:00:00+01:00,31970.32,0.0
2024-01-03 21:15:00+01:00,31751.74,0.0
2024-01-03 21:30:00+01:00,31419.61,0.0
2024-01-03 21:45:00+01:00,31135.13,0.0
2024-01-03 22:00:00+01:00,30382.33,0.0
2024-01-03 22:15:00+01:00,30293.53,0.0
2024-01-03 22:30:00+01:00,30419.4,0.0
2024-01-03 22:45:00+01:00,30378.59,0.0
2024-01-03 23:00:00+01:00,30329.55,0.0
2024-01-03 23:15:00+01:00,30380.15,0.0
2024-01-03 23:30:00+01:00,30550.18,0.0
2024-01-03 23:45:00+01:00,30649.76,0.0
2024-01-04 00:00:00+01:00,30722.89,0.0
2024-01-04 00:15:00+01:00,30699.66,0.0
2024-01-04 00:30:00+01:00,30792.5,0.0
2024-01-04 00:45:00+01:00,30975.79,0.0
2024-01-04 01:00:00+01:00,31123.02,0.0
2024-01-04 01:15:00+01:00,31290.77,0.0
2024-01-04 01:30:00+01:00,31710.24,0.0
2024-01-04 01:45:00+01:00,31795.7,0.0
2024-01-04 02:00:00+01:00,32129.95,0.0
2024-01-04 02:15:00+01:00,32628.56,0.0
2024-01-04 02:30:00+01:00,32705.79,0.0
2024-01-04 02:45:00+01:00,32690.64,0.0
2024-01-04 03:00:00+01:00,33063.7,0.0
2024-01-04 03:15:00+01:00,33182.85,0.0
2024-01-04 03:30:00+01:00,33193.01,0.0
2024-01-04 03:45:00+01:00,33117.1,0.0
2024-01-04 04:00:00+01:00,33265.07,0.0
2024-01-04 04:15:00+01:00,33623.39,0.0
2024-01-04 04:30:00+01:00,33906.23,0.0
2024-01-04 04:45:00+01:00,34035.69,0.0
2024-01-04 05:00:00+01:00,34177.09,0.0
2024-01-04 05:15:00+01:00,34270.23,0.0
2024-01-04 05:30:00+01:00,34402.05,0.0
2024-01-04 05:45:00+01:00,34145.39,0.0
2024-01-04 06:00:00+01:00,34280.98,0.0
2024-01-04 06:15:00+01:00,33834.44,0.0
2024-01-04 06:30:00+01:00,33563.95,0.0
2024-01-04 06:45:00+01:00,33210.29,0.0
2024-01-04 07:00:00+01:00,33084.87,0.0
2024-01-04 07:15:00+01:00,33046.83,0.0
2024-01-04 07:30:00+01:00,32634.33,0.0
2024-01-04 07:45:00+01:00,32335.49,0.0
2024-01-04 08:00:00+01:00,32130.79,0.0
2024-01-04 08:15:00+01:00,31603.16,0.0
2024-01-04 08:30:00+01:00,31077.29,0.0
2024-01-04 08:45:00+01:00,30715.41,0.0
2024-01-04 09:00:00+01:00,30381.52,0.0
2024-01-04 09:15:00+01:00,30067.32,0.0
2024-01-04 09:30:00+01:00,30043.67,0.0
2024-01-04 09:45:00+01:00,29638.94,0.0
2024-01-04 10:00:00+01:00,29496.71,0.0
2024-01-04 10:15:00+01:00,29335.1,0.0
2024-01-04 10:30:00+01:00,28821.03,0.0
2024-01-04 10:45:00+01:00,28438.29,0.0
2024-01-04 11:00:00+01:00,28258.95,0.0
2024-01-04 11:15:00+01:00,27958.51,0.0
2024-01-04 11:30:00+01:00,27820.56,0.0
2024-01-04 11:45:00+01:00,27430.68,0.0
2024-01-04 12:00:00+01:00,26749.45,0.0
2024-01-04 12:15:00+01:00,25886.19,0.0
2024-01-04 12:30:00+01:00,25355.95,0.0
2024-01-04 12:45:00+01:00,24969.98,0.0
2024-01-04 13:00:00+01:00,24039.99,0.0
2024-01-04 13:15:00+01:00,23495.71,0.0
2024-01-04 13:30:00+01:00,22928.65,0.0
2024-01-04 13:45:00+01:00,22294.04,0.0
2024-01-04 14:00:00+01:00,21369.7,0.0
2024-01-04 14:15:00+01:00,20550.18,0.0
2024-01-04 14:30:00+01:00,19893.01,0.0
2024-01-04 14:45:00+01:00,19158.51,0.0
2024-01-04 15:00:00+01:00,18392.24,0.0
2024-01-04 15:15:00+01:00,17557.28,0.0
2024-01-04 15:30:00+01:00,16842.47,0.0
2024-01-04 15:45:00+01:00,16202.58,0.0
2024-01-04 16:00:00+01:00,15422.25,0.0
2024-01-04 16:15:00+01:00,14714.83,0.0
2024-01-04 16:30:00+01:00,13824.86,0.0
2024-01-04 16:45:00+01:00,12900.11,0.0
2024-01-04 17:00:00+01:00,12393.73,0.0
2024-01-04 17:15:00+01:00,11715.76,0.0
2024-01-04 17:30:00+01:00,10954.78,0.0
2024-01-04 17:45:00+01:00,10382.75,0.0
2024-01-04 18:00:00+01:00,9730.2,0.0
2024-01-04 18:15:00+01:00,9205.71,0.0
2024-01-04 18:30:00+01:00,8776.92,0.0
2024-01-04 18:45:00+01:00,8274.45,0.0
2024-01-04 19:00:00+01:00,7765.28,0.0
2024-01-04 19:15:00+01:00,7447.46,0.0
2024-01-04 19:30:00+01:00,7238.16,0.0
2024-01-04 19:45:00+01:00,7076.98,0.0
2024-01-04 20:00:00+01:00,7143.34,0.0
2024-01-04 20:15:00+01:00,7082.25,0.0
2024-01-04 20:30:00+01:00,6845.25,0.0
2024-01-04 20:45:00+01:00,6594.09,0.0
2024-01-04 21:00:00+01:00,6442.43,0.0
2024-01-04 21:15:00+01:00,6317.41,0.0
2024-01-04 21:30:00+01:00,6301.86,0.0
2024-01-04 21:45:00+01:00,6328.19,0.0
2024-01-04 22:00:00+01:00,6446.85,0.0
2024-01-04 22:15:00+01:00,6620.19,0.0
2024-01-04 22:30:00+01:00,6762.76,0.0
2024-01-04 22:45:00+01:00,6822.05,0.0
2024-01-04 23:00:00+01:00,6853.65,0.0
2024-01-04 23:15:00+01:00,6885.45,0.0
2024-01-04 23:30:00+01:00,7085.53,0.0
2024-01-04 23:45:00+01:00,7372.31,0.0
2024-01-05 00:00:00+01:00,7632.08,0.0
2024-01-05 00:15:00+01:00,7949.26,0.0
2024-01-05 00:30:00+01:00,8211.17,0.0
2024-01-05 00:45:00+01:00,8425.25,0.0
2024-01-05 01:00:00+01:00,8731.8,0.0
2024-01-05 01:15:00+01:00,9117.32,0.0
2024-01-05 01:30:00+01:00,9614.79,0.0
2024-01-05 01:45:00+01:00,10011.22,0.0
2024-01-05 02:00:00+01:00,10346.85,0.0
2024-01-05 02:15:00+01:00,10868.38,0.0
2024-01-05 02:30:00+01:00,11410.26,0.0
2024-01-05 02:45:00+01:00,11960.29,0.0
2024-01-05 03:00:00+01:00,12540.57,0.0
2024-01-05 03:15:00+01:00,13135.64,0.0
2024-01-05 03:30:00+01:00,13658.34,0.0
2024-01-05 03:45:00+01:00,14082.32,0.0
